competition,date,weight,contest_code,winner,white,blue,country_white,country_blue,time_seconds,technique,score_type,tag_group
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0010,MUMINOVIQ Erza,MUMINOVIQ Erza,JON Su Yon,Kosovo,Democratic People's Republic of Korea,343.78,Hold-Trouser-Leg,Shido,113
Qingdao Grand Prix 2026,2026-06-26,-57,gp_chn2026_0002_f_0057_0010,KIM Hyon A,WANG Nan,KIM Hyon A,People's Republic of China,Democratic People's Republic of Korea,247.72,Seoi-nage,Ippon,33
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0010,MAKRETSKAYA Yana,SHARMA Unnati,MAKRETSKAYA Yana,India,Belarus,238.48,Juji-gatame,Ippon,24
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0010,POHL Dena,ZHANG Yiming,POHL Dena,People's Republic of China,Germany,135.74,Ko-uchi-gari,Waza-ari,29
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0010,POHL Dena,ZHANG Yiming,POHL Dena,People's Republic of China,Germany,157.28,Yoko-shiho-gatame,Waza-ari-awasete-ippon,25
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0010,POHL Dena,ZHANG Yiming,POHL Dena,People's Republic of China,Germany,157.28,Osaekomi,Waza-ari-awasete-ippon,124
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0010,LIU Yu,LIU Yu,SU Pin-Tzu,People's Republic of China,Chinese Taipei,228.28,Seoi-nage,Ippon,33
Qingdao Grand Prix 2026,2026-06-26,-60,gp_chn2026_0001_m_0060_0010,TUVSHINTUR Tumenjargal,RI Nam Yong,TUVSHINTUR Tumenjargal,Democratic People's Republic of Korea,Mongolia,134.03,Yoko-shiho-gatame,Waza-ari,25
Qingdao Grand Prix 2026,2026-06-26,-60,gp_chn2026_0001_m_0060_0010,TUVSHINTUR Tumenjargal,RI Nam Yong,TUVSHINTUR Tumenjargal,Democratic People's Republic of Korea,Mongolia,134.03,Osaekomi,Waza-ari,124
Qingdao Grand Prix 2026,2026-06-26,-60,gp_chn2026_0001_m_0060_0010,TUVSHINTUR Tumenjargal,RI Nam Yong,TUVSHINTUR Tumenjargal,Democratic People's Republic of Korea,Mongolia,214.51,Tani-otoshi,Ippon,35
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0010,OLIN Valtteri,OLIN Valtteri,AL SHEHADA Omar,Finland,Syrian Arab Republic,50.08,Yoko-shiho-gatame,Waza-ari,25
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0010,OLIN Valtteri,OLIN Valtteri,AL SHEHADA Omar,Finland,Syrian Arab Republic,50.08,Osaekomi,Waza-ari,124
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0010,OLIN Valtteri,OLIN Valtteri,AL SHEHADA Omar,Finland,Syrian Arab Republic,74.00,Yoko-shiho-gatame,Waza-ari-awasete-ippon,25
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0010,OLIN Valtteri,OLIN Valtteri,AL SHEHADA Omar,Finland,Syrian Arab Republic,74.00,Osaekomi,Waza-ari-awasete-ippon,124
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0010,GOCHILAIDZE Dimitri,JEAN Peter,GOCHILAIDZE Dimitri,France,Georgia,349.26,Uchi-mata-sukashi,Yuko,33
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0010,UDSILAURI George,SIBISAN Alexandru,UDSILAURI George,Romania,Germany,361.10,Cancel Yuko,No score,123
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0010,UDSILAURI George,SIBISAN Alexandru,UDSILAURI George,Romania,Germany,361.10,Ko-soto-gari,No score,29
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0010,UDSILAURI George,SIBISAN Alexandru,UDSILAURI George,Romania,Germany,587.26,Osaekomi,No score,124
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0010,UDSILAURI George,SIBISAN Alexandru,UDSILAURI George,Romania,Germany,648.53,Defensive-Posture,Shido,112
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0010,UDSILAURI George,SIBISAN Alexandru,UDSILAURI George,Romania,Germany,688.57,Hold-Trouser-Leg,Shido,113
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0010,UDSILAURI George,SIBISAN Alexandru,UDSILAURI George,Romania,Germany,717.06,Ko-soto-gake,Waza-ari,29
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0010,DIABY Tieman,DIABY Tieman,BASSO Francesco,France,Italy,104.70,Uki-otoshi,Yuko,33
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0010,DIABY Tieman,DIABY Tieman,BASSO Francesco,France,Italy,220.81,O-uchi-gari,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0011,STOLZE Friederike,STOLZE Friederike,KRIZA Anna,Germany,Hungary,67.00,Defensive-Posture,Shido,112
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0011,STOLZE Friederike,STOLZE Friederike,KRIZA Anna,Germany,Hungary,317.02,Harai-makikomi,Waza-ari,35
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0011,LISHCHENKO Tamara,MURADOVA Yyldyz,LISHCHENKO Tamara,Turkmenistan,Russian Federation,66.00,O-soto-guruma,Ippon,29
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0011,SONE Akira,AKTAS Emma-Melis,SONE Akira,Estonia,Japan,94.78,O-uchi-gari,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0011,SHABIKHANOV Saikhan,SZULIK Szymon,SHABIKHANOV Saikhan,Poland,Russian Federation,193.49,Cancel Shido,No score,123
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0011,SHABIKHANOV Saikhan,SZULIK Szymon,SHABIKHANOV Saikhan,Poland,Russian Federation,290.19,Seoi-nage,Ippon,33
Qingdao Grand Prix 2026,2026-06-26,-90,gp_chn2026_0001_m_0090_0011,ARAPOV Aidar,VISAN Vlad,ARAPOV Aidar,Romania,Kazakhstan,66.53,Hold-Sleeve-Ends,Shido,111
Qingdao Grand Prix 2026,2026-06-26,-90,gp_chn2026_0001_m_0090_0011,ARAPOV Aidar,VISAN Vlad,ARAPOV Aidar,Romania,Kazakhstan,241.98,Cancel Yuko,Waza-ari,123
Qingdao Grand Prix 2026,2026-06-26,-90,gp_chn2026_0001_m_0090_0011,ARAPOV Aidar,VISAN Vlad,ARAPOV Aidar,Romania,Kazakhstan,241.98,Kata-Guruma,Waza-ari,33
Qingdao Grand Prix 2026,2026-06-26,-90,gp_chn2026_0001_m_0090_0011,ARAPOV Aidar,VISAN Vlad,ARAPOV Aidar,Romania,Kazakhstan,249.02,Yoko-shiho-gatame,No score,25
Qingdao Grand Prix 2026,2026-06-26,-90,gp_chn2026_0001_m_0090_0011,ARAPOV Aidar,VISAN Vlad,ARAPOV Aidar,Romania,Kazakhstan,249.02,Osaekomi,No score,124
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0011,KUCZERA Piotr,KUCZERA Piotr,BAYARTSENGEL Khuderchuluun,Poland,Mongolia,519.00,O-soto-gari,Waza-ari,29
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0011,TERESINSKI Grzegorz,TERESINSKI Grzegorz,USUKHBAYAR Perenleijamts,Poland,Mongolia,61.93,Seoi-otoshi,Ippon,33
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0012,AZAK Merve,ESPADINHA Laura,AZAK Merve,France,Türkiye,176.23,Cancel Waza-ari,Yuko,123
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0012,AZAK Merve,ESPADINHA Laura,AZAK Merve,France,Türkiye,176.23,Uki-otoshi,Yuko,33
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0012,AZAK Merve,ESPADINHA Laura,AZAK Merve,France,Türkiye,202.48,Ko-uchi-gari,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0012,SEIKKULA Louna-Lumia,SEIKKULA Louna-Lumia,CABANA PEREZ Cristina,Finland,Spain,87.78,Kata-Guruma,Ippon,33
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0012,IVANOVA Mariia,WOOD Gabriella,IVANOVA Mariia,Trinidad And Tobago,Russian Federation,28.93,Cancel Yuko,Waza-ari,123
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0012,IVANOVA Mariia,WOOD Gabriella,IVANOVA Mariia,Trinidad And Tobago,Russian Federation,28.93,Ko-soto-gari,Waza-ari,29
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0012,IVANOVA Mariia,WOOD Gabriella,IVANOVA Mariia,Trinidad And Tobago,Russian Federation,51.00,Tate-shiho-gatame,Waza-ari-awasete-ippon,25
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0012,IVANOVA Mariia,WOOD Gabriella,IVANOVA Mariia,Trinidad And Tobago,Russian Federation,51.00,Osaekomi,Waza-ari-awasete-ippon,124
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0012,FERREIRA Giovani,FERREIRA Giovani,SHEN Yijie,Brazil,People's Republic of China,155.47,Hold-Trouser-Leg,Shido,113
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0012,FIZEL Marius,LI Haiyang,FIZEL Marius,People's Republic of China,Slovakia,152.35,O-uchi-gari,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0013,SZYMANSKA Angelika,SZYMANSKA Angelika,LIU Shuang,Poland,People's Republic of China,77.00,Juji-gatame,Ippon,24
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0013,BRASNJOVIC Darko,VEG Zsombor,BRASNJOVIC Darko,Hungary,Serbia,539.11,Kata-Guruma,Waza-ari,33
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0014,CID BALCELLS Jana,ALIYEVA Konul,CID BALCELLS Jana,Azerbaijan,Spain,158.50,Ko-uchi-gari,Waza-ari,29
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0014,CID BALCELLS Jana,ALIYEVA Konul,CID BALCELLS Jana,Azerbaijan,Spain,233.81,Ko-uchi-gari,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0014,CID BALCELLS Jana,ALIYEVA Konul,CID BALCELLS Jana,Azerbaijan,Spain,250.79,Okuri-eri-jime,Ippon,27
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0014,KIM Jisu,KIM Jisu,KIM Ji Hye,Republic of Korea,Democratic People's Republic of Korea,51.57,O-uchi-gari,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0014,KIM Jisu,KIM Jisu,KIM Ji Hye,Republic of Korea,Democratic People's Republic of Korea,88.54,Hold-Trouser-Leg,Shido,113
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0014,KIM Jisu,KIM Jisu,KIM Ji Hye,Republic of Korea,Democratic People's Republic of Korea,230.00,Yoko-shiho-gatame,Ippon,25
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0014,KIM Jisu,KIM Jisu,KIM Ji Hye,Republic of Korea,Democratic People's Republic of Korea,230.00,Osaekomi,Ippon,124
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0014,MUN Song Hui,NARYNOVA Moldir,MUN Song Hui,Kazakhstan,Democratic People's Republic of Korea,298.34,Sumi-otoshi,Waza-ari,33
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0014,MUN Song Hui,NARYNOVA Moldir,MUN Song Hui,Kazakhstan,Democratic People's Republic of Korea,302.06,Yoko-shiho-gatame,No score,25
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0014,MUN Song Hui,NARYNOVA Moldir,MUN Song Hui,Kazakhstan,Democratic People's Republic of Korea,302.06,Osaekomi,No score,124
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0014,NIGMATOVA Umida,WOJTA Lilli Louise,NIGMATOVA Umida,Germany,Uzbekistan,66.91,Sumi-otoshi,Yuko,33
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0014,NIGMATOVA Umida,WOJTA Lilli Louise,NIGMATOVA Umida,Germany,Uzbekistan,123.01,O-soto-gari,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0014,NIGMATOVA Umida,WOJTA Lilli Louise,NIGMATOVA Umida,Germany,Uzbekistan,212.47,Hold-Sleeve-Ends,Shido,111
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0014,NIGMATOVA Umida,WOJTA Lilli Louise,NIGMATOVA Umida,Germany,Uzbekistan,300.02,Sumi-otoshi,Waza-ari,33
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0014,CILOGLU Bilal,CILOGLU Bilal,NYYAZLYYEV Ismayyl,Türkiye,Turkmenistan,279.73,Hikikomi-gaeshi,Yuko,31
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0014,CILOGLU Bilal,CILOGLU Bilal,NYYAZLYYEV Ismayyl,Türkiye,Turkmenistan,325.02,Ippon-seoi-nage,Waza-ari,33
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0014,OYUNCHIMEG Shinebayar,AYHANOV Agajan,OYUNCHIMEG Shinebayar,Turkmenistan,Mongolia,46.80,Seoi-nage,Yuko,33
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0014,OYUNCHIMEG Shinebayar,AYHANOV Agajan,OYUNCHIMEG Shinebayar,Turkmenistan,Mongolia,88.23,Cancel Waza-ari,No score,123
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0014,OYUNCHIMEG Shinebayar,AYHANOV Agajan,OYUNCHIMEG Shinebayar,Turkmenistan,Mongolia,88.23,Tani-otoshi,No score,35
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0014,OYUNCHIMEG Shinebayar,AYHANOV Agajan,OYUNCHIMEG Shinebayar,Turkmenistan,Mongolia,161.26,Uchi-mata,Ippon,29
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0014,MATASEJE Benjamin,GREGORY Max,MATASEJE Benjamin,Great Britain,Slovakia,463.10,Ko-soto-gari,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0015,VOROBEVA Marina,VOROBEVA Marina,XIE Mingfen,Russian Federation,People's Republic of China,68.20,Osaekomi,Waza-ari,124
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0015,VOROBEVA Marina,VOROBEVA Marina,XIE Mingfen,Russian Federation,People's Republic of China,103.97,Ude-garami,Ippon,24
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0015,GALITSKAIA Kseniia,KROPSKA Natalia,GALITSKAIA Kseniia,Poland,Russian Federation,157.69,O-uchi-gari,Ippon,29
Qingdao Grand Prix 2026,2026-06-26,-78,gp_chn2026_0002_f_0078_0015,WROBLEWSKA Eliza,MICHAELIDOU Zanet,WROBLEWSKA Eliza,Cyprus,Poland,27.24,O-uchi-gari,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-78,gp_chn2026_0002_f_0078_0015,WROBLEWSKA Eliza,MICHAELIDOU Zanet,WROBLEWSKA Eliza,Cyprus,Poland,64.42,O-soto-gari,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-78,gp_chn2026_0002_f_0078_0015,WROBLEWSKA Eliza,MICHAELIDOU Zanet,WROBLEWSKA Eliza,Cyprus,Poland,212.27,O-soto-gaeshi,Ippon,29
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0015,MISHINER Yuli Alma,MISHINER Yuli Alma,SOUZA Beatriz,Israel,Brazil,124.20,Sode-tsurikomi-goshi,Waza-ari,30
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0015,MISHINER Yuli Alma,MISHINER Yuli Alma,SOUZA Beatriz,Israel,Brazil,139.26,Ura-gatame,Waza-ari-awasete-ippon,25
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0015,MISHINER Yuli Alma,MISHINER Yuli Alma,SOUZA Beatriz,Israel,Brazil,139.26,Osaekomi,Waza-ari-awasete-ippon,124
Qingdao Grand Prix 2026,2026-06-26,-60,gp_chn2026_0001_m_0060_0015,HEYDER Maximilian,HEYDER Maximilian,SAAEV Iznaur,Germany,Russian Federation,506.58,Kata-Guruma,Waza-ari,33
Qingdao Grand Prix 2026,2026-06-26,-66,gp_chn2026_0001_m_0066_0015,CHENG Lin,MAMMADOV Tofig,CHENG Lin,Azerbaijan,People's Republic of China,156.00,Kuzure-kami-shiho-gatame,No score,25
Qingdao Grand Prix 2026,2026-06-26,-66,gp_chn2026_0001_m_0066_0015,CHENG Lin,MAMMADOV Tofig,CHENG Lin,Azerbaijan,People's Republic of China,156.00,Osaekomi,No score,124
Qingdao Grand Prix 2026,2026-06-26,-66,gp_chn2026_0001_m_0066_0015,CHENG Lin,MAMMADOV Tofig,CHENG Lin,Azerbaijan,People's Republic of China,233.29,O-uchi-gari,Waza-ari,29
Qingdao Grand Prix 2026,2026-06-26,-66,gp_chn2026_0001_m_0066_0015,CHENG Lin,MAMMADOV Tofig,CHENG Lin,Azerbaijan,People's Republic of China,284.33,Uki-otoshi,Waza-ari-awasete-ippon,33
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0015,GABOR Aron,MA Yuxiang,GABOR Aron,People's Republic of China,Hungary,114.29,Uchi-mata,Waza-ari,29
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0015,GABOR Aron,MA Yuxiang,GABOR Aron,People's Republic of China,Hungary,141.06,Tomoe-nage,Yuko,31
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0015,GABOR Aron,MA Yuxiang,GABOR Aron,People's Republic of China,Hungary,310.31,Tai-otoshi,Yuko,33
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0015,ELBAKIEV Georgii,CHARNIAK Maksim,ELBAKIEV Georgii,Belarus,United Arab Emirates,112.73,Ko-uchi-gari,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0015,ELBAKIEV Georgii,CHARNIAK Maksim,ELBAKIEV Georgii,Belarus,United Arab Emirates,154.49,Tani-otoshi,Yuko,35
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0015,ELBAKIEV Georgii,CHARNIAK Maksim,ELBAKIEV Georgii,Belarus,United Arab Emirates,201.70,Cancel Yuko,Waza-ari,123
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0015,SARSENBAEV Ernazar,SARSENBAEV Ernazar,ZHENG Ruixin,Uzbekistan,People's Republic of China,116.05,Seoi-nage,Waza-ari,33
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0015,SARSENBAEV Ernazar,SARSENBAEV Ernazar,ZHENG Ruixin,Uzbekistan,People's Republic of China,138.71,Tomoe-nage,Yuko,31
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0015,SARSENBAEV Ernazar,SARSENBAEV Ernazar,ZHENG Ruixin,Uzbekistan,People's Republic of China,231.22,Defensive-Posture,Shido,112
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0015,SARSENBAEV Ernazar,SARSENBAEV Ernazar,ZHENG Ruixin,Uzbekistan,People's Republic of China,246.51,Uki-waza,Ippon,35
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0015,BATCHAEV Denis,BATCHAEV Denis,YIN Yongjie,Russian Federation,People's Republic of China,128.00,O-uchi-gari,Ippon,29
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0016,GHIGLIONE Giulia,GELDIYEVA Ejegyz,GHIGLIONE Giulia,Turkmenistan,Italy,103.30,Tai-otoshi,Yuko,33
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0016,GHIGLIONE Giulia,GELDIYEVA Ejegyz,GHIGLIONE Giulia,Turkmenistan,Italy,275.10,Hold-Trouser-Leg,Shido,113
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0016,ZACHOVA Renata,ZACHOVA Renata,CIANO Raffaella Lelia,Czechia,Italy,57.30,O-uchi-gaeshi,Waza-ari,29
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0016,ZACHOVA Renata,ZACHOVA Renata,CIANO Raffaella Lelia,Czechia,Italy,245.73,Tani-otoshi,Waza-ari-awasete-ippon,35
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0016,MARATOVA Nazgul,MARATOVA Nazgul,JIA Bingqian,Kazakhstan,People's Republic of China,231.98,O-uchi-gari,Waza-ari,29
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0016,MARATOVA Nazgul,MARATOVA Nazgul,JIA Bingqian,Kazakhstan,People's Republic of China,244.00,Kuzure-kesa-gatame,Waza-ari-awasete-ippon,25
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0016,MARATOVA Nazgul,MARATOVA Nazgul,JIA Bingqian,Kazakhstan,People's Republic of China,244.00,Osaekomi,Waza-ari-awasete-ippon,124
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0016,SIMIN Iosif,SIMIN Iosif,BAITAS Bakzhan,Israel,Kazakhstan,106.26,O-soto-makikomi,Waza-ari,35
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0016,SIMIN Iosif,SIMIN Iosif,BAITAS Bakzhan,Israel,Kazakhstan,122.00,Ushiro-kesa-gatame,Waza-ari-awasete-ippon,25
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0016,SIMIN Iosif,SIMIN Iosif,BAITAS Bakzhan,Israel,Kazakhstan,122.00,Osaekomi,Waza-ari-awasete-ippon,124
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0016,ZHOLDOSHKAZIEV Emirkhan,ZHOLDOSHKAZIEV Emirkhan,MESSE A BESSONG John,Kyrgyzstan,Canada,220.51,Cancel Waza-ari,Yuko,123
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0017,HUI Xinran,HUI Xinran,LEE Yoojin,People's Republic of China,Republic of Korea,128.48,Juji-gatame,Ippon,24
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0017,OBERAN Iva,OBERAN Iva,DEBERDT Gaetane,Croatia,France,74.54,Uchi-mata,Waza-ari,29
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0017,OBERAN Iva,OBERAN Iva,DEBERDT Gaetane,Croatia,France,86.53,Juji-gatame,Ippon,24
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0017,HERSHKO Raz,HERSHKO Raz,SOLIMAN Safa,Israel,Egypt,67.21,Cancel Shido,No score,123
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0017,HERSHKO Raz,HERSHKO Raz,SOLIMAN Safa,Israel,Egypt,67.21,Hold-Sleeve-Ends,Shido,111
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0017,HERSHKO Raz,HERSHKO Raz,SOLIMAN Safa,Israel,Egypt,286.22,Seoi-nage,Waza-ari,33
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0017,BAATHE Karl,SAVYTSKIY Anton,BAATHE Karl,Ukraine,Sweden,491.77,Ko-soto-gake,Waza-ari,29
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0017,BASHAEV Tamerlan,KOKAURI Ushangi,BASHAEV Tamerlan,Azerbaijan,Russian Federation,196.02,Seoi-nage,Waza-ari,33
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0017,BASHAEV Tamerlan,KOKAURI Ushangi,BASHAEV Tamerlan,Azerbaijan,Russian Federation,211.24,Yoko-shiho-gatame,Waza-ari-awasete-ippon,25
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0017,BASHAEV Tamerlan,KOKAURI Ushangi,BASHAEV Tamerlan,Azerbaijan,Russian Federation,211.24,Osaekomi,Waza-ari-awasete-ippon,124
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0018,DUDINA Kristina,DUDINA Kristina,SLAZOK Wiktoria,Russian Federation,Poland,247.50,Tsuri-goshi,Yuko,30
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0018,CAPANNI DIAS Thauany David,LILUASHVILI Dali,CAPANNI DIAS Thauany David,Russian Federation,Italy,177.20,Fingers-Interlocked,Shido,111
Qingdao Grand Prix 2026,2026-06-26,-78,gp_chn2026_0002_f_0078_0018,KUCHIMOVA Marjona,KUCHIMOVA Marjona,RIABCHENKO Alexandra,Uzbekistan,Russian Federation,54.01,Defensive-Posture,Shido,112
Qingdao Grand Prix 2026,2026-06-26,-78,gp_chn2026_0002_f_0078_0018,KUCHIMOVA Marjona,KUCHIMOVA Marjona,RIABCHENKO Alexandra,Uzbekistan,Russian Federation,163.02,Harai-goshi-gaeshi,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0018,STARTSEVA Elis,STARTSEVA Elis,KURBANBAEVA Iriskhon,Russian Federation,Uzbekistan,105.66,Defensive-Posture,Shido,112
Qingdao Grand Prix 2026,2026-06-26,-66,gp_chn2026_0001_m_0066_0018,XUE Ziyang,YILDIZ Salih,XUE Ziyang,Türkiye,People's Republic of China,266.70,O-uchi-gari,Waza-ari,29
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0018,MROWCZYNSKI Wiktor,MROWCZYNSKI Wiktor,FAN Renchuan,Poland,People's Republic of China,154.99,Tomoe-nage,Yuko,31
