competition,date,weight,contest_code,winner,white,blue,country_white,country_blue,time_seconds,technique,score_type,tag_group,is_ippon
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0006,SOMKHISHVILI Sophio,ENKHBAYAR Enkhzul,SOMKHISHVILI Sophio,Mongolia,Georgia,320.02,O-soto-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0006,SOMKHISHVILI Sophio,ENKHBAYAR Enkhzul,SOMKHISHVILI Sophio,Mongolia,Georgia,348.0,Kuzure-kesa-gatame,Ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,-60,gp_chn2026_0001_m_0060_0006,NAERT Olivier,NAERT Olivier,GURBANBERDIYEV Ygtyyar,Belgium,Turkmenistan,97.97,Kata-Guruma,Waza-ari,33,False
Qingdao Grand Prix 2026,2026-06-26,-60,gp_chn2026_0001_m_0060_0006,NAERT Olivier,NAERT Olivier,GURBANBERDIYEV Ygtyyar,Belgium,Turkmenistan,113.04,Kuzure-kami-shiho-gatame,Ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0006,ELBAZ Yehonatan,ELBAZ Yehonatan,LIN Gaohui,Israel,People's Republic of China,231.77,Hikikomi-gaeshi,Yuko,31,False
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0006,HERKOVIC Nace,HERKOVIC Nace,NURKOVIC Jahja,Slovenia,Montenegro,375.98,Sumi-gaeshi,Yuko,31,False
Qingdao Grand Prix 2026,2026-06-26,-90,gp_chn2026_0001_m_0090_0006,SIVAN Roy,SANTAMARIA RODRIGUEZ Aharon,SIVAN Roy,Spain,Israel,197.01,O-uchi-gari,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0006,ARSENIE Rares,BIRZHANOV Askar,ARSENIE Rares,Kazakhstan,Romania,330.0,Kuzure-kami-shiho-gatame,Ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0006,AGRO Sylvain Lorenzo,LIN Dong,AGRO Sylvain Lorenzo,People's Republic of China,Italy,165.0,Tani-otoshi,Waza-ari,35,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0007,BEDER Tugce,BEDER Tugce,IOVINO Anna,Türkiye,Italy,106.26,Ko-soto-gari,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0007,BEDER Tugce,BEDER Tugce,IOVINO Anna,Türkiye,Italy,142.01,Tate-shiho-gatame,Ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0007,SIMIC Nina,SIMIC Nina,TAIBI Chaimae,Croatia,Morocco,213.03,Hikikomi-gaeshi,Waza-ari,31,False
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0007,SIMIC Nina,SIMIC Nina,TAIBI Chaimae,Croatia,Morocco,227.0,Yoko-shiho-gatame,Waza-ari-awasete-ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0007,SOBIERAJSKA Katarzyna,SOBIERAJSKA Katarzyna,GOSHEN Maya,Poland,Israel,125.24,Ko-uchi-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0007,SOBIERAJSKA Katarzyna,SOBIERAJSKA Katarzyna,GOSHEN Maya,Poland,Israel,269.23,O-soto-otoshi,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0007,SOBIERAJSKA Katarzyna,SOBIERAJSKA Katarzyna,GOSHEN Maya,Poland,Israel,442.26,O-soto-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0007,SKERLEV Victor,SKERLEV Victor,GOBERT Maxime,Bulgaria,France,502.49,Sumi-gaeshi,Yuko,31,False
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0007,ZHUBANAZAR Abylaikhan,ZHUBANAZAR Abylaikhan,ZARAGKAS Aris,Kazakhstan,Greece,475.83,Ko-uchi-gari,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0007,SANGARIEV Adam,SANGARIEV Adam,REYES Kyle,Russian Federation,Canada,131.66,Tani-otoshi,Waza-ari,35,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0007,SANGARIEV Adam,SANGARIEV Adam,REYES Kyle,Russian Federation,Canada,218.23,Tani-otoshi,Yuko,35,False
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0007,PUUMALAINEN Martti,PUUMALAINEN Martti,LAHBOUB Mohammed,Finland,Morocco,120.25,Yoko-shiho-gatame,Ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0008,TANIOKA Narumi,TANIOKA Narumi,NURULLOEVA Marjona,Japan,Uzbekistan,339.0,Yoko-shiho-gatame,Ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0008,PARLATI Manuel,LI Zan,PARLATI Manuel,People's Republic of China,Italy,54.01,Hikikomi-gaeshi,Waza-ari,31,False
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0008,PARLATI Manuel,LI Zan,PARLATI Manuel,People's Republic of China,Italy,163.46,Seoi-nage,Ippon,33,True
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0008,KROUSSANIOTAKIS Georgios,JEDRZEJEWSKI Michal,KROUSSANIOTAKIS Georgios,Poland,Cyprus,73.24,Hikikomi-gaeshi,Yuko,31,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0008,KROUSSANIOTAKIS Georgios,JEDRZEJEWSKI Michal,KROUSSANIOTAKIS Georgios,Poland,Cyprus,223.5,Ippon-seoi-nage,Yuko,33,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0009,BIFOV Idar,BIFOV Idar,KARATAYEV Deniz,Russian Federation,Turkmenistan,174.57,Uchi-mata,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0010,MUMINOVIQ Erza,MUMINOVIQ Erza,JON Su Yon,Kosovo,Democratic People's Republic of Korea,135.99,Sumi-otoshi,Waza-ari,33,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0010,MUMINOVIQ Erza,MUMINOVIQ Erza,JON Su Yon,Kosovo,Democratic People's Republic of Korea,321.97,O-uchi-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-57,gp_chn2026_0002_f_0057_0010,KIM Hyon A,WANG Nan,KIM Hyon A,People's Republic of China,Democratic People's Republic of Korea,247.72,Seoi-nage,Ippon,33,True
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0010,MAKRETSKAYA Yana,SHARMA Unnati,MAKRETSKAYA Yana,India,Belarus,238.48,Juji-gatame,Ippon,24,True
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0010,POHL Dena,ZHANG Yiming,POHL Dena,People's Republic of China,Germany,135.74,Ko-uchi-gari,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0010,POHL Dena,ZHANG Yiming,POHL Dena,People's Republic of China,Germany,157.28,Yoko-shiho-gatame,Waza-ari-awasete-ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0010,LIU Yu,LIU Yu,SU Pin-Tzu,People's Republic of China,Chinese Taipei,228.28,Seoi-nage,Ippon,33,True
Qingdao Grand Prix 2026,2026-06-26,-60,gp_chn2026_0001_m_0060_0010,TUVSHINTUR Tumenjargal,RI Nam Yong,TUVSHINTUR Tumenjargal,Democratic People's Republic of Korea,Mongolia,134.03,Yoko-shiho-gatame,Waza-ari,25,False
Qingdao Grand Prix 2026,2026-06-26,-60,gp_chn2026_0001_m_0060_0010,TUVSHINTUR Tumenjargal,RI Nam Yong,TUVSHINTUR Tumenjargal,Democratic People's Republic of Korea,Mongolia,214.51,Tani-otoshi,Ippon,35,True
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0010,OLIN Valtteri,OLIN Valtteri,AL SHEHADA Omar,Finland,Syrian Arab Republic,50.08,Yoko-shiho-gatame,Waza-ari,25,False
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0010,OLIN Valtteri,OLIN Valtteri,AL SHEHADA Omar,Finland,Syrian Arab Republic,74.0,Yoko-shiho-gatame,Waza-ari-awasete-ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0010,GOCHILAIDZE Dimitri,JEAN Peter,GOCHILAIDZE Dimitri,France,Georgia,349.26,Uchi-mata-sukashi,Yuko,33,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0010,UDSILAURI George,SIBISAN Alexandru,UDSILAURI George,Romania,Germany,361.1,Ko-soto-gari,No score,29,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0010,UDSILAURI George,SIBISAN Alexandru,UDSILAURI George,Romania,Germany,717.06,Ko-soto-gake,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0010,DIABY Tieman,DIABY Tieman,BASSO Francesco,France,Italy,104.7,Uki-otoshi,Yuko,33,False
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0010,DIABY Tieman,DIABY Tieman,BASSO Francesco,France,Italy,220.81,O-uchi-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0011,STOLZE Friederike,STOLZE Friederike,KRIZA Anna,Germany,Hungary,317.02,Harai-makikomi,Waza-ari,35,False
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0011,LISHCHENKO Tamara,MURADOVA Yyldyz,LISHCHENKO Tamara,Turkmenistan,Russian Federation,66.0,O-soto-guruma,Ippon,29,True
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0011,SONE Akira,AKTAS Emma-Melis,SONE Akira,Estonia,Japan,94.78,O-uchi-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0011,SHABIKHANOV Saikhan,SZULIK Szymon,SHABIKHANOV Saikhan,Poland,Russian Federation,290.19,Seoi-nage,Ippon,33,True
Qingdao Grand Prix 2026,2026-06-26,-90,gp_chn2026_0001_m_0090_0011,ARAPOV Aidar,VISAN Vlad,ARAPOV Aidar,Romania,Kazakhstan,241.98,Kata-Guruma,Waza-ari,33,False
Qingdao Grand Prix 2026,2026-06-26,-90,gp_chn2026_0001_m_0090_0011,ARAPOV Aidar,VISAN Vlad,ARAPOV Aidar,Romania,Kazakhstan,249.02,Yoko-shiho-gatame,No score,25,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0011,KUCZERA Piotr,KUCZERA Piotr,BAYARTSENGEL Khuderchuluun,Poland,Mongolia,519.0,O-soto-gari,Waza-ari,29,False
